Player,Ridge Coefficient,Bayesian Coefficient
2446_off,0.002607788758715011,0
2446_def,0.015139378316642797,0
2199_off,0.0008154199498052571,0
2199_def,-0.018363941754034767,0
101108_off,0.022342233401849865,0
101108_def,-0.0049141074192906265,0
978_off,-0.010428488736897695,0
978_def,0.011781299064783394,0
2561_off,0.0039112907791222454,0
2561_def,-0.008892843564432913,0
2427_off,0.0013046647962215252,0
2427_def,0.010301032215848377,0
2588_off,-0.001303097618494903,0
2588_def,0.00691163642316387,0
1495_off,0.012045558714214028,0
1495_def,-0.023786752878815112,0
714_off,-0.010833919529577855,0
714_def,-0.005367862828252459,0
2225_off,0.015935931281598946,0
2225_def,-0.0011140655154667036,0
2137_off,-0.0004960392854237342,0
2137_def,6.681672144566012e-05,0
1899_off,-0.00881662307471846,0
1899_def,2.916745639539325e-05,0
703_off,-0.0049411357967558715,0
703_def,0.01664252731901495,0
2400_off,0.0005145973602365601,0
2400_def,-0.012696815257837349,0
1752_off,-0.002956325183397478,0
1752_def,-0.004593949323699774,0
1477_off,0.002178402888916584,0
1477_def,0.00033948015183813595,0
2484_off,-0.005020450325702701,0
2484_def,0.0023125366503095423,0
1498_off,-0.005295742913405521,0
1498_def,-0.0003904706644073225,0
201588_off,0.02265693440092917,0
201588_def,-0.008918818850419905,0
2408_off,0.00047471777618533485,0
2408_def,0.0045792433783472765,0
2419_off,-0.003146040877944674,0
2419_def,-0.00870684859838518,0
739_off,-0.010802810406818356,0
739_def,0.003871547339912153,0
201155_off,-0.013907021259639878,0
201155_def,-0.008199273998451115,0
201167_off,0.0005094211276387502,0
201167_def,-0.000704162702785611,0
2198_off,0.0012462384540121746,0
2198_def,0.007447307098040857,0
200821_off,-0.001182631324204323,0
200821_def,-0.0029038532540014888,0
2048_off,0.0015575590033411562,0
2048_def,0.00809294606798628,0
201563_off,-0.014219107620221834,0
201563_def,0.009260135725061366,0
201161_off,0.002266147489155107,0
201161_def,0.014831819332799997,0
201596_off,0.010790260792012923,0
201596_def,-0.010887283336284973,0
2592_off,-0.0069913309955278915,0
2592_def,0.00945452377322777,0
101131_off,0.0055943503031563365,0
101131_def,-0.012202304904318928,0
200835_off,0.0016376154062325583,0
200835_def,-0.004366816900177365,0
201202_off,0.0049943610478580605,0
201202_def,-0.018504671460696308,0
101198_off,0.003651393241548863,0
101198_def,0.012031189930370296,0
101161_off,-0.011703852503944607,0
101161_def,0.007220867733521123,0
1548_off,-0.00019887514676484482,0
1548_def,-0.0014963423010266247,0
200809_off,-0.0019221785034552316,0
200809_def,-0.0021530668086577934,0
2748_off,-0.0042674865676087075,0
2748_def,0.008101032241650728,0
2753_off,-0.011709965398807299,0
2753_def,0.00872669159743955,0
1717_off,0.04544322324589863,0
