Name,PLAYER_ID,MPG,Tier,Poss_Off,Poss_Def,Off,Def,RAPM,Replace_Off,Replace_Def,VORP_Off,VORP_Def,VORP,Season
Nikola Jokic,203999,33.67,30-35,6372,6316,5.555,-1.713,7.269,-1.371,-1.687,6.926,-0.026,6.952,2023
Jrue Holiday,201950,32.58,30-35,4992,4965,4.087,-2.913,6.999,-1.371,-1.687,5.457,-1.225,6.683,2023
Jayson Tatum,1628369,36.92,35-40,7105,7099,5.556,-0.755,6.311,-0.357,-1.132,5.913,0.378,5.535,2023
Aaron Gordon,203932,30.22,30-35,5634,5634,3.387,-2.906,6.292,-1.371,-1.687,4.757,-1.218,5.976,2023
Kawhi Leonard,202695,33.61,30-35,3688,3669,3.383,-2.82,6.203,-1.371,-1.687,4.754,-1.133,5.887,2023
LeBron James,2544,35.53,35-40,5404,5397,4.541,-1.595,6.136,-0.357,-1.132,4.898,-0.463,5.361,2023
Devin Booker,1626164,34.63,30-35,4697,4690,5.421,-0.712,6.133,-1.371,-1.687,6.792,0.975,5.816,2023
Shai Gilgeous-Alexander,1628983,35.53,35-40,5260,5239,4.874,-0.928,5.802,-0.357,-1.132,5.231,0.204,5.027,2023
Josh Hart,1628404,32.29,30-35,5655,5653,3.397,-2.35,5.747,-1.371,-1.687,4.768,-0.662,5.43,2023
Derrick White,1628401,28.28,25-30,5895,5907,2.748,-2.954,5.702,-1.653,-1.55,4.4,-1.404,5.804,2023
Kevin Durant,201142,35.57,35-40,4373,4351,4.266,-1.416,5.681,-0.357,-1.132,4.623,-0.283,4.906,2023
Desmond Bane,1630217,31.75,30-35,4331,4325,3.147,-2.52,5.667,-1.371,-1.687,4.517,-0.833,5.351,2023
Kyrie Irving,202681,37.34,35-40,4518,4511,4.579,-0.717,5.296,-0.357,-1.132,4.936,0.415,4.521,2023
Giannis Antetokounmpo,203507,32.12,30-35,4473,4449,3.186,-2.039,5.225,-1.371,-1.687,4.557,-0.352,4.908,2023
Joel Embiid,203954,34.61,30-35,5182,5165,1.949,-3.187,5.136,-1.371,-1.687,3.319,-1.5,4.819,2023
Austin Reaves,1630559,28.8,25-30,5056,5052,2.701,-2.393,5.094,-1.653,-1.55,4.354,-0.843,5.196,2023
Damian Lillard,203081,36.32,35-40,4329,4320,5.24,0.182,5.058,-0.357,-1.132,5.597,1.314,4.283,2023
Dennis Schroder,203471,30.09,30-35,4992,4985,2.284,-2.733,5.018,-1.371,-1.687,3.655,-1.046,4.701,2023
Draymond Green,203110,31.47,30-35,5625,5630,2.559,-2.44,4.998,-1.371,-1.687,3.929,-0.753,4.682,2023
Franz Wagner,1630532,32.61,30-35,5390,5388,2.413,-2.577,4.989,-1.371,-1.687,3.783,-0.89,4.673,2023
Stephen Curry,201939,34.66,30-35,5207,5191,3.788,-1.124,4.912,-1.371,-1.687,5.159,0.563,4.595,2023
Brook Lopez,201572,30.42,30-35,5327,5311,1.806,-3.091,4.897,-1.371,-1.687,3.176,-1.404,4.58,2023
Jaren Jackson Jr.,1628991,28.37,25-30,4231,4220,2.061,-2.821,4.881,-1.653,-1.55,3.713,-1.271,4.984,2023
Darius Garland,1629636,35.47,35-40,5216,5153,3.859,-0.993,4.852,-0.357,-1.132,4.216,0.139,4.077,2023
Anthony Davis,203076,34.01,30-35,5235,5208,1.097,-3.72,4.817,-1.371,-1.687,2.468,-2.033,4.501,2023
Paul George,202331,34.62,30-35,3913,3898,2.489,-2.281,4.77,-1.371,-1.687,3.86,-0.594,4.454,2023
DeMar DeRozan,201942,36.24,35-40,5554,5577,2.989,-1.601,4.59,-0.357,-1.132,3.346,-0.468,3.815,2023
Tim Hardaway Jr.,203501,30.31,30-35,4250,4253,2.916,-1.618,4.534,-1.371,-1.687,4.287,0.069,4.217,2023
Michael Porter Jr.,1629008,29.0,25-30,5008,4995,2.753,-1.424,4.176,-1.653,-1.55,4.405,0.127,4.279,2023
Steven Adams,203500,26.98,25-30,2372,2350,1.59,-2.545,4.136,-1.653,-1.55,3.243,-0.995,4.238,2023
